snapshot_date,income_stream,income_row_count,declaration_count,total_income_eur,average_income_eur,earliest_income_year,latest_income_year
2026-08-18,mandate_remuneration,74725,5850,1242496349.8,16627.59,2010,2026
2026-08-18,revenu_mandat,66,9,1098531,16644.41,2020,2026
